source,category,operator_qid,operator_label,operator_type_qid,operator_type_label,country_qid,country_label,website,description_en
wikidata,TSO,Q114453512,National Grid Electricity Transmission,Q1326624,electricity supply company,Q145,United Kingdom,,Electricity transmission network operator in England
wikidata,TSO,Q119292843,Transmission Capital Partners,Q1326624,electricity supply company,Q145,United Kingdom,https://www.transmissioncapital.com/,owner of offshore wind power transmission assets in the UK
wikidata,TSO,Q119293404,Blue Transmission,Q1326624,electricity supply company,Q145,United Kingdom,https://www.bluetransmission.com/,owner of offshore wind power transmission assets in the UK
wikidata,TSO,Q130296594,National Energy System Operator,Q112046,transmission system operator for electricity,Q145,United Kingdom,https://www.neso.energy/,government-owned UK national energy distribution company
wikidata,Regulator,Q5357798,Electricity Commissioners,Q1639780,regulatory agency,Q145,United Kingdom,,UK electricity industry regulator
wikidata,Ministry,Q3044733,Department of Energy and Climate Change,Q19973795,ministry of energy,Q145,United Kingdom,https://www.gov.uk/decc,former department of the UK Government
wikidata,Ministry,Q25927629,"Department for Business, Energy and Industrial Strategy",Q19973795,ministry of energy,Q145,United Kingdom,https://www.gov.uk/government/organisations/department-for-business-energy-and-industrial-strategy,defunct department of the UK Government
wikidata,TSO,Q1551220,Red Eléctrica de España,Q112046,transmission system operator for electricity,Q29,Spain,https://www.redeia.com/es,Spanish electricity transmission system operator
wikidata,TSO,Q126192574,Logos Energía,Q1326624,electricity supply company,Q29,Spain,https://www.logosenergia.es,Energy trading company
wikidata,Ministry,Q27685329,"Ministry of Energy, Tourism, and Digital Agenda",Q19973795,ministry of energy,Q29,Spain,http://www.minetad.gob.es/,government of Spain
wikidata,TSO,Q936325,Terna S.p.A.,Q112046,transmission system operator for electricity,Q38,Italy,http://www.terna.it/,transmission system operator based in Rome
wikidata,TSO,Q3050569,Electricity Generating Authority of Thailand,Q1326624,electricity supply company,Q869,Thailand,https://www.egat.co.th/,"state enterprise responsible for electric power generation, transmission and sales in Thailand"
wikidata,Ministry,Q6866887,Ministry of Energy,Q19973795,ministry of energy,Q869,Thailand,https://www.energy.go.th/,ministry of Thailand
