operator_qid,operator_label,operator_type_qid,operator_type_label,country_qid,country_label,website,headquarters,inception,ceo,employees,revenue,industry,logo,stock_exchange,dissolved,wikipedia,similarity_score,operator_name
Q12776245,Slovenská elektrizačná prenosová sústava,Q112046,transmission system operator for electricity,Q214,Slovakia,https://www.sepsas.sk/,Bratislava,2002-01-21T00:00:00Z,,,,electric power industry,http://commons.wikimedia.org/wiki/Special:FilePath/SEPS%20Slovakia%20logo%20Slovak%20Transmission%20Operator%20logo.jpg,,,https://en.wikipedia.org/wiki/Slovensk%C3%A1_elektriza%C4%8Dn%C3%A1_prenosov%C3%A1_s%C3%BAstava,,
Q836281,Slovenský plynárenský priemysel,Q1326624,electricity supply company,Q214,Slovakia,http://www.spp.sk/,Bratislava,2006-01-01T00:00:00Z,,681,1526000000,gas industry,http://commons.wikimedia.org/wiki/Special:FilePath/SPP%20logo.jpg,,,https://en.wikipedia.org/wiki/Slovensk%C3%BD_plyn%C3%A1rensk%C3%BD_priemysel,,
Q5358777,Elektro-Slovenija,Q112046,transmission system operator for electricity,Q215,Slovenia,https://www.eles.si/,Ljubljana,1991-01-01T00:00:00Z,,,,electric power industry,,,,https://en.wikipedia.org/wiki/Elektro-Slovenija,,
Q1367885,Eskom,Q1326624,electricity supply company,Q258,South Africa,https://www.eskom.co.za,Sandton,1923-03-01T00:00:00Z,,,,energy industry,http://commons.wikimedia.org/wiki/Special:FilePath/Esc%20logo%20wit.png,,,https://en.wikipedia.org/wiki/Eskom,,
Q122929389,National Transmission Company of South Africa,Q472093,distribution network operator for electricity,Q258,South Africa,,Megawatt Park,,,,,,,,,https://en.wikipedia.org/wiki/National_Transmission_Company_of_South_Africa,,
Q109330872,Q109330872,Q1326624,electricity supply company,Q29,Spain,,Vigo,1896-01-01T00:00:00Z,,,,,,,,,,
Q111721294,Q111721294,Q1326624,electricity supply company,Q29,Spain,https://imaginaenergia.com/,Madrid,2020-01-01T00:00:00Z,,,,electricity supply company,,,,,,
Q20908866,Q20908866,Q1326624,electricity supply company,Q29,Spain,,A Coruña,1932-01-01T00:00:00Z,,,,,,,1936-01-01T00:00:00Z,,,
Q6117572,Q6117572,Q1326624,electricity supply company,Q29,Spain,,,1945-01-01T00:00:00Z,,,,,,,,,,
Q1275336,Endesa,Q1326624,electricity supply company,Q29,Spain,https://www.endesa.com/,Madrid,1944-01-01T00:00:00Z,José Damián Bogas Gálvez,1244,,energy supply,http://commons.wikimedia.org/wiki/Special:FilePath/Endesa.svg,OTC Markets Group,,https://en.wikipedia.org/wiki/Endesa,,
